Tag,Tag Group,id,Services Link,Service Names,Service ids
Education,Education,82,"Senior Programs - MLK JR. Family Outreach Center - 109,""Foster Youth Services - Department of Children, Youth, and Families (DCYF) - 279"",FailSafe for Life - Big Table - 22,Rising Strong - Catholic Charities Eastern Washington - 39,Attachment Vitamins - International Rescue Committee (IRC) - 92,Early Childhood Education and Assistance Program (ECEAP) - Northeast Youth Center (NEYC) - 287,EduCare - Transitions (Help4Women) - 224","Senior Programs, Foster Youth Services, FailSafe for Life, Rising Strong, Attachment Vitamins, Early Childhood Education and Assistance Program (ECEAP), EduCare","109, 279, 22, 39, 92, 287, 224"
English Class,Education,86,"Barton English Language School - First Presbyterian Church of Spokane (FPCS) - 70,English Language Program - Global Neighborhood Thrift - 76,Learn English - Wide World for Refugee - 199","Barton English Language School, English Language Program, Learn English","70, 76, 199"
Language Class,Education,85,"Barton English Language School - First Presbyterian Church of Spokane (FPCS) - 70,English Language Program - Global Neighborhood Thrift - 76","Barton English Language School, English Language Program","70, 76"
Legal Navigation Class,Education,88,,,
Parenting Class,Education,87,"Attachment Vitamins - International Rescue Committee (IRC) - 92,Parenting Classes - Vanessa Behan - 194","Attachment Vitamins, Parenting Classes","92, 194"
Technology Class,Education,84,,,
Counseling,Mental-Health,90,"""Family Reconciliation Services (FRS) - Department of Children, Youth, and Families (DCYF) - 278"",Rising Strong - Catholic Charities Eastern Washington - 39","Family Reconciliation Services (FRS), Rising Strong","278, 39"
Emotional Wellbeing,Mental-Health,92,Senior Programs - MLK JR. Family Outreach Center - 109,Senior Programs,109
Mental-Health,Mental-Health,89,Mental Health and Substance Use Disorder Treatment - American Indian Community Center - 281,Mental Health and Substance Use Disorder Treatment,281
Suicide Prevention,Mental-Health,91,FailSafe for Life - Big Table - 22,FailSafe for Life,22
EBT,Gov Programs,96,Basic Food Assistance Program - GreenHouse Food Bank - 78,Basic Food Assistance Program,78
Gov Program,Gov Programs,93,"Temporary Assistance for Needy Families (TANF) - Department of Social and Health Services (DSHS) - 53,Early Childhood Education and Assistance Program (ECEAP) - MLK JR. Family Outreach Center - 106,Reconnect2Work - Resource Center of Spokane County - 135,Working Families Tax Credit Outreach Program - American Indian Community Center - 13,""Working Connections Child Care (WCCC) - Department of Children, Youth, and Families (DCYF) - 276""","Temporary Assistance for Needy Families (TANF), Early Childhood Education and Assistance Program (ECEAP), Reconnect2Work, Working Families Tax Credit Outreach Program, Working Connections Child Care (WCCC)","53, 106, 135, 13, 276"
Grant,Gov Programs,94,"Brain Cancer Grant - Family Reach - 63,Breast Cancer Grant - Family Reach - 64,Cervical Cancer Grant - Family Reach - 65,Clinical Trial Access Grant - Family Reach - 66,General Funding Grant - Family Reach - 67,Multiple Myeloma Grant - Family Reach - 68,Pediatric Grant - Family Reach - 69","Brain Cancer Grant, Breast Cancer Grant, Cervical Cancer Grant, Clinical Trial Access Grant, General Funding Grant, Multiple Myeloma Grant, Pediatric Grant","63, 64, 65, 66, 67, 68, 69"
SSI,Gov Programs,97,,,
SSI-Disability,Gov Programs,98,,,
TANF,Gov Programs,95,Temporary Assistance for Needy Families (TANF) - Department of Social and Health Services (DSHS) - 53,Temporary Assistance for Needy Families (TANF),53
Case Management,Case Management,99,"Rental Assistance / Case Management - Family Promise of Spokane - 62,Family Emergency Shelter - Salvation Army - 137,Stepping Stones Transitional Housing - Salvation Army - 139,Care Coordination (Health Home) - Aging & Long Term Care of Eastern Washington (ALTCEW) - 1,Care Transitions - Aging & Long Term Care of Eastern Washington (ALTCEW) - 2,Community Living Connections - Aging & Long Term Care of Eastern Washington (ALTCEW) - 4,Rising Strong - Catholic Charities Eastern Washington - 39,Stabilization Program - Family Promise of Spokane - 283,Transitional Respite Program - Catholic Charities Eastern Washington - 91","Rental Assistance / Case Management, Family Emergency Shelter, Stepping Stones Transitional Housing, Care Coordination (Health Home), Care Transitions, Community Living Connections, Rising Strong, Stabilization Program, Transitional Respite Program","62, 137, 139, 1, 2, 4, 39, 283, 91"
Home Visit,Case Management,102,,,
One-on-One,Case Management,103,,,
PC,Case Management,100,,,
PRIME,Case Management,101,,,
Alcoholics Anonymous,Support & Recovery,106,Alcoholics Anonymous - Family of Faith Community Church - 54,Alcoholics Anonymous,54
Narcotics Addicts Anonymous,Support & Recovery,107,Narcotics Anonymous - Family of Faith Community Church - 59,Narcotics Anonymous,59
Recovery Group,Support & Recovery,105,"Narcotics Anonymous - Family of Faith Community Church - 59,Mental Health Interventions - International Rescue Committee (IRC) - 97,Celebrate Families - Family of Faith Community Church - 57,Rising Strong - Catholic Charities Eastern Washington - 39,Alcoholics Anonymous - Family of Faith Community Church - 54,Celebrate Recovery - Family of Faith Community Church - 58","Narcotics Anonymous, Mental Health Interventions, Celebrate Families, Rising Strong, Alcoholics Anonymous, Celebrate Recovery","59, 97, 57, 39, 54, 58"
Support Group,Support & Recovery,104,,,
