Unique Name,MergeType,Service / Program,Provider,Locations Link,loc-rids,Provider Name,Provider id,Parent Org,Parent Org Name,Parent Org id,Print Provider,OLD - Service Type,OLD - Condensed Type (MAP),Status,OLD - Tags,OLD - Quick Filter,Details,Service Times,Online Only Check,Appt Only Check,Eligibility,Lang Support,Languages,OLD - Service Cost,Cost Type,Set Cost,Sliding Scale - Low,Sliding Scale - High,Max Income Eligibility,Cost Details,Service Area,OLD - Attachments,Display Website,Website (Service),Website (Provider),Apply Online Link,Schedule Appt Link,URL-Phone,Display Phone,Phone (Service),Phone (Provider),Display Appt Only Phone,Appt Only Phone,Display Email,Email (Service),Email (Provider),Appt Only Email,Email (Web Form),Address: Line 1,Address: Line 2,Address: City,Address: State,Address: Zipcode,Address: Latitude,Address: Longitude,Display Address,Display URL-Address,Service URL-Address,Provider URL-Address,Address: Combo,Address: MAP,Address: Combo (Provider),Address: MAP (Provider),Print Contact Info,Print Lang Info,Same as Provider,Update Check (Disp),Update Check,Next Update Date,Last Updated,Last Updated By,Date Added,Created By,Short Details,AutoUpdateFIll,id,id-text,TrueCheckbox,Location ids,loc-ids-text,Multi-Loc Check,Service Type-NEW,Quick Filter-NEW,Service Type id,Service Groups,Service Group Types,Service Group ids,Tags-NEW,Tag Groups,Tag ids,Documents,Docx ids,Notes & Alerts,N&A ids,Form Submissions,Favorites Link,Favorites user ids,Events Link,Event ids,Contacts Link,Contact ids,Record_ID,Softr_Item_Page,Provider Locations,Pathways Link
"Fulfilment, Achievement, Maturity, Enrichment Program (FAME) - MLK JR. Family Outreach Center - 107",OLD,"Fulfilment, Achievement, Maturity, Enrichment Program (FAME)",MLK JR. Family Outreach Center_33,"""500 S Stone St, Spokane, WA 99202""",reckz0hW4fYNuqNa5,MLK JR. Family Outreach Center,33,,,,MLK JR. Family Outreach Center,Youth Services,Youth Services,Active,,Wellness,"FAME is an after-school program for children K-6 grade who attend Grant, Sheridan or Franklin elementary schools. FAME provides: Homework Assistance- to help improve academic performance, Health and Nutrition- USDA approved snacks are provided, Best Practices- additional curriculums that teach the essential social skills such as problem-solving, emotional management, impulse control, and empathy, Enrichment Activities- ability to participate in non-academic programs (i.e.) field trips, gardening, dance classes, cooking classes, and art classes.",Call during standard business hours.,,,"Must attend either Grant, Sheridan, or Franklin Elementary Schools.",,,,,,,,,,"Grant, Sheridan, & Franklin Elementary Schools",,https://mlkspokane.org/?page_id=50/,https://mlkspokane.org/?page_id=50/,https://mlkspokane.org/,,,tel://5098680856,(509) 868-0856,(509) 868-0856,(509) 868-0856,,,info@mlkspokane.org,info@mlkspokane.org,info@mlkspokane.org,,,500 S Stone St,,Spokane,WA,99202,,,"500 S Stone St, Spokane, WA 99202",https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,"500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","(509) 868-0856 | info@mlkspokane.org | 500 S Stone St, Spokane, WA 99202",No listed language support,1,Please Update,Needs Update,4/8/2025 1:13am,1/7/2025 5:13pm,Gerrit Van Zwol,4/15/2024,Gerrit Van Zwol,FAME is an after-school program for...,,107,107,Yes,49,49,Single,Youth Services,Wellness,19,,,,,,,,,,,,,,,,,,recvK0EJI00NXwCpg,https://resourcecenter.softr.app/service-details?recordId=recvK0EJI00NXwCpg,"""500 S Stone St, Spokane, WA 99202""",
Senior Commodity Supplemental Food Program (CSFP) - MLK JR. Family Outreach Center - 108,OLD,Senior Commodity Supplemental Food Program (CSFP),MLK JR. Family Outreach Center_33,"""500 S Stone St, Spokane, WA 99202""",reckz0hW4fYNuqNa5,MLK JR. Family Outreach Center,33,,,,MLK JR. Family Outreach Center,Food Assistance,Food Assistance,Active,"60 & Older,Free,Food",Food,"Senior Commodity Supplemental Food Program (CSFP) sponsored by 2nd Harvest, provides additional food once a month to seniors. In order to qualify for the CSFP Program one must be 60 years of age or older and have a household gross income of less than 130% of the Federal Poverty Guideline.  Inquire when you arrive at the Food Bank. Or call the center at 509-868-0856 and the Intake Coordinator will be able to assist you.","Mondays / Wednesdays / Fridays,  1 PM - 3 PM",,,"Proof of residency, government issued photo ID, and must be 60 years of age or older and have a household gross income of less than 130% of the Federal Poverty Guideline.",,,,,,,,,,,,https://mlkspokane.org/?page_id=55/,https://mlkspokane.org/?page_id=55/,https://mlkspokane.org/,,,tel://5098680856,(509) 868-0856,(509) 868-0856,(509) 868-0856,,,info@mlkspokane.org,info@mlkspokane.org,info@mlkspokane.org,,,500 S Stone St,,Spokane,WA,99202,,,"500 S Stone St, Spokane, WA 99202",https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,"500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","(509) 868-0856 | info@mlkspokane.org | 500 S Stone St, Spokane, WA 99202",No listed language support,1,Please Update,Needs Update,4/8/2025 1:13am,1/7/2025 5:13pm,Gerrit Van Zwol,4/15/2024,Gerrit Van Zwol,Senior Commodity Supplemental Food...,,108,108,Yes,49,49,Single,Food Assistance,Food,5,,,,,,,,,,,,,,,,,,recNKQ1yppUHeCB2d,https://resourcecenter.softr.app/service-details?recordId=recNKQ1yppUHeCB2d,"""500 S Stone St, Spokane, WA 99202""",
Senior Programs - MLK JR. Family Outreach Center - 109,OLD,Senior Programs,MLK JR. Family Outreach Center_33,"""500 S Stone St, Spokane, WA 99202""",reckz0hW4fYNuqNa5,MLK JR. Family Outreach Center,33,,,,MLK JR. Family Outreach Center,Interpersonal Services,Interpersonal Services,Active,,Wellness,"Provides emotional, social, physical and educational activities focused around the needs of older adults. We provide a welcoming, inclusive environment where seniors can enjoy warm friendships, healthy activities, joyful experiences, and meaningful engagement as they age.",Call during standard business hours.,,,Must be at least 60 years old.,,,,,,,,,,,,https://mlkspokane.org/?page_id=53/,https://mlkspokane.org/?page_id=53/,https://mlkspokane.org/,,,tel://5098680856,(509) 868-0856,(509) 868-0856,(509) 868-0856,,,info@mlkspokane.org,info@mlkspokane.org,info@mlkspokane.org,,,500 S Stone St,,Spokane,WA,99202,,,"500 S Stone St, Spokane, WA 99202",https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,"500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","(509) 868-0856 | info@mlkspokane.org | 500 S Stone St, Spokane, WA 99202",No listed language support,1,Please Update,Needs Update,4/8/2025 1:13am,1/7/2025 5:13pm,Gerrit Van Zwol,4/15/2024,Gerrit Van Zwol,"Provides emotional, social, physica...",,109,109,Yes,49,49,Single,Interpersonal Services,Wellness,17,Seniors: 55 Years+,Age Group,14,"Activities,Community,Education,Emotional Wellbeing","Community & Recreation, Education, Mental-Health","4, 8, 82, 92",,,,,,,,,,,,recmx1DO810Dlnlwr,https://resourcecenter.softr.app/service-details?recordId=recmx1DO810Dlnlwr,"""500 S Stone St, Spokane, WA 99202""",
Summer Youth Academy (SYA) - MLK JR. Family Outreach Center - 110,OLD,Summer Youth Academy (SYA),MLK JR. Family Outreach Center_33,"""500 S Stone St, Spokane, WA 99202""",reckz0hW4fYNuqNa5,MLK JR. Family Outreach Center,33,,,,MLK JR. Family Outreach Center,Youth Services,Youth Services,Active,,Wellness,SYA is a structured 8-10-week summer program designed to serve youth between the ages of 3-12. SYA provides an interactive learning environment designed to build self-esteem and promote diversity and cultural awareness. The program offers recreational activities and community service opportunities.,Call during standard business hours.,,,Must be within the ages of 3 to 12 years old.,,,,,,,,,,,,https://mlkspokane.org/?page_id=54/,https://mlkspokane.org/?page_id=54/,https://mlkspokane.org/,,,tel://5098680856,(509) 868-0856,(509) 868-0856,(509) 868-0856,,,info@mlkspokane.org,info@mlkspokane.org,info@mlkspokane.org,,,500 S Stone St,,Spokane,WA,99202,,,"500 S Stone St, Spokane, WA 99202",https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,"500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","(509) 868-0856 | info@mlkspokane.org | 500 S Stone St, Spokane, WA 99202",No listed language support,1,Please Update,Needs Update,4/8/2025 1:13am,1/7/2025 5:13pm,Gerrit Van Zwol,4/15/2024,Gerrit Van Zwol,SYA is a structured 8-10-week summe...,,110,110,Yes,49,49,Single,Youth Services,Wellness,19,,,,,,,,,,,,,,,,,,recHEcTSXGbXC1rm2,https://resourcecenter.softr.app/service-details?recordId=recHEcTSXGbXC1rm2,"""500 S Stone St, Spokane, WA 99202""",
Teen Tech Center - MLK JR. Family Outreach Center - 111,OLD,Teen Tech Center,MLK JR. Family Outreach Center_33,"""500 S Stone St, Spokane, WA 99202""",reckz0hW4fYNuqNa5,MLK JR. Family Outreach Center,33,,,,MLK JR. Family Outreach Center,Youth Services,Youth Services,Active,,Wellness,"The U.S. is facing a rapidly rising shortage of people qualified for tech-reliant jobs. By 2020, 1.4
million jobs (77% of all jobs in the country) will require tech skills and only 400,000 people will
be trained for them. Teens from underserved communities are especially at-risk because they
lack the tech, training and mentoring to help them prep for careers.
The Teen Tech Center is equipped with technology and multimedia tools that can be used for
video production, graphic design, coding and much more.",Call during standard business hours.,,,Must be a teenager.,,,,,,,,,,,,https://mlkspokane.org/?page_id=652/,https://mlkspokane.org/?page_id=652/,https://mlkspokane.org/,,,tel://5098680856,(509) 868-0856,(509) 868-0856,(509) 868-0856,,,info@mlkspokane.org,info@mlkspokane.org,info@mlkspokane.org,,,500 S Stone St,,Spokane,WA,99202,,,"500 S Stone St, Spokane, WA 99202",https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/500%20S%20Stone%20St%2C%20Spokane%2C%20WA%2099202,"500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","500 S Stone St, Spokane, WA 99202","(509) 868-0856 | info@mlkspokane.org | 500 S Stone St, Spokane, WA 99202",No listed language support,1,Please Update,Needs Update,4/8/2025 1:13am,1/7/2025 5:13pm,Gerrit Van Zwol,4/15/2024,Gerrit Van Zwol,The U.S. is facing a rapidly rising...,,111,111,Yes,49,49,Single,Youth Services,Wellness,19,,,,,,,,,,,,,,,,,,recvWHkxV3slBm3kw,https://resourcecenter.softr.app/service-details?recordId=recvWHkxV3slBm3kw,"""500 S Stone St, Spokane, WA 99202""",
Self-Sufficiency Grant - Modest Needs - 243,NEW,Self-Sufficiency Grant,Modest Needs_98,"""33 Irving Pl, Fl 5, New York, NY 10003""",recHE4Zx9KHnn1vtE,Modest Needs,98,,,,Modest Needs,Financial Assistance,Financial Assistance,Active,,,"**Modest Needs' hallmark grant is our Self-Sufficiency Grant. We make Self-Sufficiency Grants in an effort to assist individuals and families who, because they are working and live just above the poverty level, are ineligible for most types of conventional social assistance but who, all the same, are living one or two lost paychecks away from the kind of financial catastrophe that eventually leads to homelessness. **
We give special consideration to persons living alone (single persons with no dependent children), public school teachers, and first responders - the people who do the most for our communities but who don't generally qualify to receive assistance from conventional agencies, even though these good folks are often grossly undercompensated for their work.
Generally, Modest Needs offers Self-Sufficiency Grants to qualified individuals / households who need help to afford two specific types of expenses:

* **Unexpected or emergency expenses that an individual or family living paycheck-to-paycheck could not possibly afford without a short-term hand-up.**
<br>
    Examples of expenses of this type with which Modest Needs has helped in the past include everything from the cost of medical care not covered by insurance to the cost of repairing or replacing a major appliance to the cost of required work tools or uniforms to the cost of legal fees to complete an adoption to - tragically - the cost of burying a family member that has unexpectedly passed away; and
* **Monthly bills that an individual or family living paycheck-to-paycheck cannot afford to pay at the time of their application because of a documentable extenuating circumstance that occurred within the past year.**
<br>
    For example, if you were required to take unpaid leave from work because your child was ill and now cannot afford the cost of your auto insurance, or if you were in an auto accident and cannot afford this month's rent or mortgage payment because you had to pay a deductible to repair your car - under these kinds of documentable emergency situations, Modest Needs would consider paying a regular monthly bill on behalf of your household on a one-time basis.

**Grant Limitations**
While we try to be as flexible as we can with the requests for assistance we receive, Modest Needs cannot ever help persons to afford expenses that fall into one or more of the following three categories:

* **Expenses we are not permitted to pay as a matter of law.**
    Expenses of this type would include federal, state, or local tax payments, including property tax payments, past-due child support payments, or fines / legal fees associated with a civil or criminal offense with which an applicant has been charged (for example, we can't pay traffic tickets or help you to retain an attorney because you've been sued or charged with a crime).
* **Expenses that we cannot pay on behalf of an applicant without sending cash or a gift card directly to that applicant.**
    Modest Needs' policies prohibit our sending cash directly to an applicant, so unfortunately, we cannot help applicants to afford, for example, the cost of groceries or gas, the cost of covering an overdraft in an applicant's bank account, or the cost of repaying a payday loan.
    Similarly, we can't make a rental payment if, for example, an applicant is renting from a family member (this would be like giving cash directly to the applicant's family), and we can't help applicants to afford utility or rental deposits (these payments are returned to applicants as cash at the end of the rental term.)
* **Expenses related to credit card debt, bankruptcy, or luxury items.**
    At Modest Needs, we believe that the best kind of giving is responsible giving. So, as a matter of organizational policy, we do not help persons to afford credit card bills; the cost of filing for bankruptcy or making scheduled bankruptcy payments; or luxury goods / services of any kind (for example, the cost of replacing a broken television or the cost of taking your family on a vacation).

**Apply Online** Once you have read over the eligibility requirements and confirmed that you likely qualify, you can apply online using [this link](https://www.modestneeds.org/for-applicants/apply-for-help.asp).",Contact for an appointment. (Phone line is active 8am - 2pm EST),,,"Modest Needs' mission is to help **low-income workers** who are struggling to shoulder the burden of a short-term emergency expense.
In keeping with our mission, Modest Needs' applicants must meet the following income and employment guidelines:
* At least one adult member of the applicant's household must be documentably employed at the time of the application; AND
* The primary (largest) source of income for each applicant's household must be either income earned from employment; or child support payments; or Veteran's Benefits; or retirement income (including Social Security retirement benefits)

**Modest Needs regularly makes grants to households receiving types of income other than those listed above (Social Security Disability Income, for example). However, in light of Modest Needs' mission, applicants whose households do NOT meet the income and employment guidelines listed above will NOT qualify to apply for a grant from Modest Needs.**
If you need help to afford a short-term emergency expense but know that your household does not meet the income and employment guidelines listed above, please do not complete an application for assistance from Modest Needs. Instead, please consider contacting your local 2-1-1 and requesting a referral, or have a look at our [resource database](https://www.modestneeds.org/tools/resources/) to see if we list another agency that might be able to help you.",,,FREE,,,,,,,,,https://www.modestneeds.org/mn/about-us/grants/self-sufficiency-grants,https://www.modestneeds.org/mn/about-us/grants/self-sufficiency-grants,https://www.modestneeds.org/,,,tel://8446673776,(844) 667-3776,,(844) 667-3776,,,doiqualify@modestneeds.org,doiqualify@modestneeds.org,general.questions@modestneeds.org,,,,,,,,,,"33 Irving Pl. Fl 5, New York, NY 10003",https://www.google.com/maps/search/33%20Irving%20Pl%2C%20New%20York%2C%20NY%2010003,https://www.google.com/maps/search/33%20Irving%20Pl%2C%20New%20York%2C%20NY%2010003,https://www.google.com/maps/search/33%20Irving%20Pl%2C%20New%20York%2C%20NY%2010003,,"33 Irving Pl, New York, NY 10003","33 Irving Pl. Fl 5, New York, NY 10003","33 Irving Pl, New York, NY 10003","(844) 667-3776 | doiqualify@modestneeds.org | 33 Irving Pl. Fl 5, New York, NY 10003",No listed language support,0,89 Days since last Update,Up to Date,5/4/2025 7:08pm,2/3/2025 11:08am,Gerrit Van Zwol,8/5/2024,Gerrit Van Zwol,**Modest Needs' hallmark grant is o...,,243,243,Yes,50,50,Single,Financial Assistance,Financial,13,,,,Financial,Financial,71,,,,,,,,,,,,rec0bvFesdeoJtc5R,https://resourcecenter.softr.app/service-details?recordId=rec0bvFesdeoJtc5R,"""33 Irving Pl, Fl 5, New York, NY 10003""",
Refurbished Medical & Mobility Equipment - MSHH Donor Closet - 112,OLD,Refurbished Medical & Mobility Equipment,MSHH Donor Closet_34,"""3203 N Market St, Spokane, WA 99207""",recxcYnbJX2YWGOfh,MSHH Donor Closet,34,,,,MSHH Donor Closet,Medical Equipment,Medical Services,Active,"Medical,Medical Equipment",Medical,"The MSHH Donor Closet accepts donations of no longer needed medical and mobility equipment, refurbish and make it available at a reasonable ""suggested donation price"".","Wednesdays / Fridays / Saturdays, 10 AM - 3 PM",,,NONE,,,,,,,,,,,,https://www.facebook.com/MSHHDonorClosetSpokane/,https://www.facebook.com/MSHHDonorClosetSpokane/,https://www.mshh-donorcloset.com/,,,tel://5094874119,(509) 487-4119,(509) 487-4119,(509) 487-4119,,,ManagerSpokane@mshh-donorcloset.com,ManagerSpokane@mshh-donorcloset.com,ManagerSpokane@mshh-donorcloset.com,,,3203 N Market St,,Spokane,WA,99207,,,"3203 N Market St, Spokane, WA 99207",https://www.google.com/maps/search/3203%20N%20Market%20St%2C%20Spokane%2C%20WA%2099207,https://www.google.com/maps/search/3203%20N%20Market%20St%2C%20Spokane%2C%20WA%2099207,https://www.google.com/maps/search/3203%20N%20Market%20St%2C%20Spokane%2C%20WA%2099207,"3203 N Market St, Spokane, WA 99207","3203 N Market St, Spokane, WA 99207","3203 N Market St, Spokane, WA 99207","3203 N Market St, Spokane, WA 99207","(509) 487-4119 | ManagerSpokane@mshh-donorcloset.com | 3203 N Market St, Spokane, WA 99207",No listed language support,1,88 Days since last Update,Up to Date,5/5/2025 7:37pm,2/4/2025 11:37am,Gerrit Van Zwol,4/15/2024,Gerrit Van Zwol,The MSHH Donor Closet accepts donat...,,112,112,Yes,51,51,Single,Medical Equipment,Medical,21,Anyone In Need,General,1,"Medical,Medical Equipment,Reduced Cost,Wheelchair,Neck Brace,Crutches,Back Brace,Arm Brace,Ankle Brace,Leg Brace","Medical, Financial","41, 43, 73, 50, 48, 49, 46, 45, 44, 47",,,,,,,,,,,,recgntPvO6uhivOmM,https://resourcecenter.softr.app/service-details?recordId=recgntPvO6uhivOmM,"""3203 N Market St, Spokane, WA 99207""",
Free Eyeglasses - New Eyes - 113,OLD,Free Eyeglasses,New Eyes_35,"""830 Morris Tpke, Suite 401, Short Hills, NJ 7078""",recvmg6iZ0B8NeDzL,New Eyes,35,,,,New Eyes,Optometry Services,Medical Services,Active,"Medical,Vision,Glasses,Free",Medical,"New Eyes provides new prescription eyeglasses for children and adults in financial need throughout the United States who cannot afford glasses on their own. Eligible if living in a household at 250% or less of Federal Poverty Guidelines.

This program provides:
- A pair of single or lined bifocal eyeglasses - lenses and frame. (2 identical pairs provided for children under 18) NOT progressives/transitions or special filter lenses.

Individuals can apply for themselves OR through a caseworker. The online application is accessible to social service agencies/health advocates who apply on their clients behalf and also to individuals who may apply directly.
When you have an e-voucher from New Eyes, glasses must be ordered online from our partner dispenser www.neweyesglasses.org

Social Service Agencies or referring caseworkers will need the following information from their client:
- Contact information including name, address, and email (if available)
- Monthly approximate net income and expenses
- A prescription for eyeglasses from a recent eye exam (within the last 24 months)

Agency’s tax ID is needed as verification of a new agency registration. Please visit the website to apply.
Vouchers are good for three months from the date of issue.

A $10 program fee applies.",Apply online,,,"'- Applicants must have an email to apply directly and to ask questions to New Eyes. There is no telephone support. All customer care to info@new-eyes.org. Only refer clients with their email for a response please.
- Applications can be made online 24/7. Individuals can apply through a referring case worker/health advocate/ support group OR directly through New Eyes website. The program is fully online and glasses will be ordered online by the applicant or caseworker from our partner dispenser and shipped out.
- Applicants must hold a recent eye exam (dated within the last 24 months) including their pupillary distance (PD) measurement before applying. If it is not included on the eyeglasses prescription (preferable) you may measure it yourself. (Instructions on New Eyes website)
- This program helps people with income at or below 250% of federal poverty guidelines.",,,,,,,,,,Continental US,,https://new-eyes.org/application,https://new-eyes.org/application,https://new-eyes.org/,,,,,,,,,info@new-eyes.org,info@new-eyes.org,info@new-eyes.org,,,,,,,,,,"830 Morris Tpke. Suite 401, Short Hills, NJ 7078",https://www.google.com/maps/search/830%20Morris%20Tpke%2C%20Short%20Hills%2C%20NJ%207078,https://www.google.com/maps/search/830%20Morris%20Tpke%2C%20Short%20Hills%2C%20NJ%207078,https://www.google.com/maps/search/830%20Morris%20Tpke%2C%20Short%20Hills%2C%20NJ%207078,,"830 Morris Tpke, Short Hills, NJ 7078","830 Morris Tpke. Suite 401, Short Hills, NJ 7078","830 Morris Tpke, Short Hills, NJ 7078","info@new-eyes.org | 830 Morris Tpke. Suite 401, Short Hills, NJ 7078",No listed language support,0,Please Update,Needs Update,4/8/2025 1:13am,1/7/2025 5:13pm,Gerrit Van Zwol,4/23/2024,Gerrit Van Zwol,New Eyes provides new prescription...,,113,113,Yes,52,52,Single,Optometry Services,Medical,24,,,,"Glasses,Medical,Vision,Free","Medical, Financial","55, 41, 54, 72",,,,,,,,,,,,recvaaKeQcINJAYOA,https://resourcecenter.softr.app/service-details?recordId=recvaaKeQcINJAYOA,"""830 Morris Tpke, Suite 401, Short Hills, NJ 7078""",
After School Camp - Northeast Youth Center (NEYC) - 285,NEW,After School Camp,Northeast Youth Center (NEYC)_107,"""3004 E Queen Ave, Spokane, WA 99217""",recJ57qSeIPvsRpsH,Northeast Youth Center (NEYC),107,,,,Northeast Youth Center (NEYC),,,Active,,,"Many parents are looking for affordable, quality licensed childcare and have asked us to design an after-school program to meet their needs. Your child will be transported from school and brought to the Northeast Youth Center for an afterschool meal, recreational activities, homework help, arts & crafts, and weekly field trips.","Weekly until 6:00pm
Closed ALL federal holidays",,,Call for more information or to register.,,,,,,,,,,"Schools Serviced: Arlington, Bemiss, Cooper, Longfellow, Regal & Whitman",,https://spokaneneyc.com/,,https://spokaneneyc.com/,,,tel://5094820708,(509) 482-0708,,(509) 482-0708,,,info@spokaneneyc.org,,info@spokaneneyc.org,,,,,,,,,,"3004 E Queen Ave, Spokane, WA 99217",https://www.google.com/maps/search/3004%20E%20Queen%20Ave%2C%20Spokane%2C%20WA%2099217,https://www.google.com/maps/search/3004%20E%20Queen%20Ave%2C%20Spokane%2C%20WA%2099217,https://www.google.com/maps/search/3004%20E%20Queen%20Ave%2C%20Spokane%2C%20WA%2099217,,"3004 E Queen Ave, Spokane, WA 99217","3004 E Queen Ave, Spokane, WA 99217","3004 E Queen Ave, Spokane, WA 99217","(509) 482-0708 | info@spokaneneyc.org | 3004 E Queen Ave, Spokane, WA 99217",No listed language support,0,88 Days since last Update,Up to Date,5/5/2025 7:16pm,2/4/2025 11:16am,Gerrit Van Zwol,1/24/2025,Yaritza Alatriste Morales,Many parents are looking for afford...,,285,285,Yes,10,10,Single,Childcare,Wellness,11,School-Aged Children: 5 - 12 Years,Age Group,5,"Activities,Meals,Childcare (school-aged: 5 - 12 years)","Community & Recreation, Basic Needs, Childcare","4, 12, 27",,,,,,,,,,,,rec1f834HMttFoWCN,https://resourcecenter.softr.app/service-details?recordId=rec1f834HMttFoWCN,"""3004 E Queen Ave, Spokane, WA 99217""",
Before School Camp - Northeast Youth Center (NEYC) - 284,NEW,Before School Camp,Northeast Youth Center (NEYC)_107,"""3004 E Queen Ave, Spokane, WA 99217""",recJ57qSeIPvsRpsH,Northeast Youth Center (NEYC),107,,,,Northeast Youth Center (NEYC),,,Active,,,"Working early and can’t find someone to take your child to school? Mornings are so important for children to get off to a good start! Every morning your child will be greeted with fun & games, hair styling, last-minute homework help, BREAKFAST, and safe travel to school on time!","Weekly 6:00am - Start of school
Closed ALL federal holidays",,,Call for more information or to register.,,,,,,,,,,"Schools serviced: Arlington, Bemiss, Cooper, Longfellow, Regal & Whitman",,https://spokaneneyc.com/,,https://spokaneneyc.com/,,,tel://5094820708,(509) 482-0708,,(509) 482-0708,,,info@spokaneneyc.org,,info@spokaneneyc.org,,,,,,,,,,"3004 E Queen Ave, Spokane, WA 99217",https://www.google.com/maps/search/3004%20E%20Queen%20Ave%2C%20Spokane%2C%20WA%2099217,https://www.google.com/maps/search/3004%20E%20Queen%20Ave%2C%20Spokane%2C%20WA%2099217,https://www.google.com/maps/search/3004%20E%20Queen%20Ave%2C%20Spokane%2C%20WA%2099217,,"3004 E Queen Ave, Spokane, WA 99217","3004 E Queen Ave, Spokane, WA 99217","3004 E Queen Ave, Spokane, WA 99217","(509) 482-0708 | info@spokaneneyc.org | 3004 E Queen Ave, Spokane, WA 99217",No listed language support,0,88 Days since last Update,Up to Date,5/5/2025 7:16pm,2/4/2025 11:16am,Gerrit Van Zwol,1/24/2025,Yaritza Alatriste Morales,Working early and can’t find someon...,,284,284,Yes,10,10,Single,Childcare,Wellness,11,School-Aged Children: 5 - 12 Years,Age Group,5,"Activities,Meals,Childcare (school-aged: 5 - 12 years)","Community & Recreation, Basic Needs, Childcare","4, 12, 27",,,,,,,,,,,,recTm8kF1A6aoXDWv,https://resourcecenter.softr.app/service-details?recordId=recTm8kF1A6aoXDWv,"""3004 E Queen Ave, Spokane, WA 99217""",
